diameter_km,depth_km,circularity,center_x,center_y,confidence
5.086474962979619,52.4,0.5838099154859323,13,12,0.5838099154859323
4.305620486218447,54.0,0.6812513845165401,31,11,0.6812513845165401
1.6273715780512878,22.800001,1.2762720155208533,40,4,1.0
4.712249745098538,28.4,0.6300189994214888,57,6,0.6300189994214888
8.236395021093237,76.4,0.27266909793569444,87,20,0.27266909793569444
3.8031567451515134,51.2,0.8207586964940495,97,5,0.8207586964940495
4.209928082843396,78.4,0.830409496002988,123,9,0.830409496002988
6.205059534991693,50.8,0.3841701795207008,145,7,0.3841701795207008
5.434993784527796,50.4,0.5427552239280127,163,12,0.5427552239280127
1.6273715780512878,29.2,1.2762720155208533,172,4,1.0
5.397380918884689,54.8,0.5813368854122772,236,9,0.5813368854122772
6.462372402400944,55.600002,0.38367179622497466,258,10,0.38367179622497466
7.006862125444447,45.2,0.34824444692793305,311,6,0.34824444692793305
2.59281792577143,16.4,1.111712424183585,344,6,1.0
2.59281792577143,12.0,1.111712424183585,528,6,1.0
7.375147005388174,35.2,0.28614777230848343,558,22,0.28614777230848343
3.8031567451515134,46.0,0.8207586964940495,589,9,0.8207586964940495
2.59281792577143,25.2,1.111712424183585,596,6,1.0
7.672978336249486,61.2,0.34102193949304793,623,17,0.34102193949304793
5.509449223514659,72.0,0.4773832011222062,637,5,0.4773832011222062
2.59281792577143,33.2,1.111712424183585,654,4,1.0
6.072315638661277,36.0,0.4742291586637421,677,12,0.4742291586637421
6.430771369983393,65.200005,0.40262599546129285,700,9,0.40262599546129285
3.8563503319209347,37.600002,0.7356073646929072,728,10,0.7356073646929072
3.2858897332920622,36.8,0.8927387648746967,760,4,0.8927387648746967
3.2232956248285585,30.0,1.027834947927076,782,6,1.0
2.59281792577143,44.4,1.111712424183585,800,6,1.0
6.270377751094572,54.8,0.3494091230441109,834,4,0.3494091230441109
6.105772176379133,39.2,0.4486001530772351,866,16,0.4486001530772351
3.7492085263260826,50.0,0.924353758861674,904,5,0.924353758861674
3.2232956248285585,48.4,1.027834947927076,925,6,1.0
2.59281792577143,27.6,1.111712424183585,934,4,1.0
3.2232956248285585,39.2,1.027834947927076,961,6,1.0
2.59281792577143,17.2,1.111712424183585,978,4,1.0
3.2858897332920622,35.600002,0.8927387648746967,992,8,0.8927387648746967
3.8563503319209347,42.0,0.7356073646929072,1004,10,0.7356073646929072
7.539059177177062,67.6,0.3067352529881734,1031,8,0.3067352529881734
1.6273715780512878,15.6,1.2762720155208533,1100,4,1.0
6.977727437401995,89.6,0.36338610710931035,1157,17,0.36338610710931035
8.551893325433133,64.0,0.2337904320924089,1206,8,0.2337904320924089
1.6273715780512878,41.2,1.2762720155208533,1296,4,1.0
2.59281792577143,25.2,1.111712424183585,1392,6,1.0
2.59281792577143,40.0,1.111712424183585,1430,4,1.0
4.352677845379694,64.0,0.6229340548850409,1460,4,0.6229340548850409
4.352677845379694,45.2,0.6229340548850409,1492,4,0.6229340548850409
7.035876171402048,63.2,0.3341324911275339,1503,12,0.3341324911275339
1.6273715780512878,23.2,1.2762720155208533,1596,4,1.0
8.693647069871153,73.6,0.25877027120136037,1616,14,0.25877027120136037
4.258043108873925,32.4,0.7495636799419626,1658,6,0.7495636799419626
1.6273715780512878,15.6,1.2762720155208533,1668,4,1.0
5.509449223514659,58.4,0.47738320112220634,1742,4,0.47738320112220634
6.462372402400944,70.8,0.3836717962249745,1783,6,0.3836717962249745
2.59281792577143,49.600002,1.111712424183585,1806,4,1.0
3.2858897332920622,26.0,0.8927387648746967,1820,4,0.8927387648746967
2.59281792577143,32.0,1.111712424183585,1840,6,1.0
5.046265044040321,36.4,0.6298008259357083,1856,12,0.6298008259357083
3.2858897332920622,38.4,0.8927387648746967,1868,8,0.8927387648746967
3.2858897332920622,43.2,0.8927387648746967,1888,4,0.8927387648746967
4.6688179452475955,50.8,0.6856376177191419,1915,7,0.6856376177191419
3.2232956248285585,43.2,1.027834947927076,1953,6,1.0
1.6273715780512878,6.4,1.2762720155208533,1988,4,1.0
5.7977171353049215,43.2,0.47684924268140194,2015,14,0.47684924268140194
1.6273715780512878,26.800001,1.2762720155208533,2032,4,1.0
6.462372402400944,55.2,0.3836717962249745,2062,10,0.3836717962249745
5.005732138297854,24.800001,0.6822411892519274,2083,9,0.6822411892519274
6.105772176379133,45.600002,0.4486001530772351,2108,10,0.4486001530772351
5.832748977568258,48.0,0.45007509051796046,2138,6,0.45007509051796046
5.727010622687704,50.0,0.5392063593359765,2193,15,0.5392063593359765
4.733816218162558,46.4,0.6689953436322033,2221,11,0.6689953436322033
1.6273715780512878,7.6,1.2762720155208533,68,8,1.0
2.59281792577143,56.8,1.111712424183585,176,10,1.0
6.172141215046532,49.600002,0.40381408880310043,199,11,0.40381408880310043
6.493819655767211,57.2,0.36617369063461713,747,14,0.36617369063461713
1.6273715780512878,13.2,1.2762720155208533,768,8,1.0
1.6273715780512878,19.2,1.2762720155208533,916,8,1.0
2.59281792577143,30.0,1.111712424183585,1066,8,1.0
1.6273715780512878,11.2,1.2762720155208533,1104,8,1.0
5.582911790017533,37.2,0.42432073965668665,1314,8,0.42432073965668665
6.139046385568431,72.4,0.4252158833263679,1449,13,0.4252158833263679
1.6273715780512878,20.0,1.2762720155208533,1480,8,1.0
5.086474962979619,83.6,0.5838099154859323,1567,13,0.5838099154859323
6.399014280237452,66.0,0.4232087069335238,1592,17,0.4232087069335238
1.6273715780512878,36.4,1.2762720155208533,1812,8,1.0
1.6273715780512878,20.4,1.2762720155208533,1880,8,1.0
