diameter_km,circularity,center_x,center_y,confidence
6.709824908433555,0.38208862748809674,15,10,0.38208862748809674
3.2858897332920622,0.8927387648746967,40,8,0.8927387648746967
2.59281792577143,1.111712424183585,52,6,1.0
2.59281792577143,1.111712424183585,68,6,1.0
3.2858897332920622,0.8927387648746967,88,4,0.8927387648746967
6.335022529561543,0.5161499682693768,105,12,0.5161499682693768
3.8031567451515134,0.8207586964940495,118,7,0.8207586964940495
2.59281792577143,1.111712424183585,162,4,1.0
8.92490145148011,0.23196754179354417,177,21,0.23196754179354417
3.2858897332920622,0.8927387648746967,192,4,0.8927387648746967
3.7492085263260826,0.9243537588616743,208,6,0.9243537588616743
2.59281792577143,1.111712424183585,274,4,1.0
3.2232956248285585,1.027834947927076,282,6,1.0
2.59281792577143,1.111712424183585,294,4,1.0
2.59281792577143,1.111712424183585,304,6,1.0
3.2858897332920622,0.8927387648746967,332,4,0.8927387648746967
1.6273715780512878,1.2762720155208533,344,4,1.0
3.7492085263260826,0.9243537588616743,361,8,0.9243537588616743
5.472348133312703,0.5082988981063368,375,15,0.5082988981063368
3.2858897332920622,0.8927387648746967,384,8,0.8927387648746967
5.472348133312703,0.5082988981063368,399,14,0.5082988981063368
5.832748977568258,0.45007509051796046,417,15,0.45007509051796046
3.2858897332920622,0.8927387648746967,436,8,0.8927387648746967
1.6273715780512878,1.2762720155208533,536,4,1.0
2.59281792577143,1.111712424183585,556,6,1.0
8.211623852148504,0.2975886050061345,558,26,0.2975886050061345
6.430771369983393,0.40262599546129296,596,16,0.40262599546129296
5.762472327629266,0.5064199759653949,614,15,0.5064199759653949
4.6688179452475955,0.6856376177191419,651,11,0.6856376177191419
2.59281792577143,1.111712424183585,664,6,1.0
6.493819655767211,0.36617369063461713,694,10,0.36617369063461713
5.7977171353049215,0.47684924268140194,712,14,0.47684924268140194
6.948470589731051,0.3796638210267211,732,18,0.3796638210267211
5.472348133312703,0.5082988981063368,744,13,0.5082988981063368
4.624978308224886,0.7500997173165801,786,8,0.7500997173165801
4.209928082843396,0.830409496002988,808,9,0.830409496002988
6.948470589731051,0.3796638210267211,815,20,0.3796638210267211
4.712249745098538,0.6300189994214888,898,12,0.6300189994214888
4.624978308224886,0.7500997173165801,940,10,0.7500997173165801
5.005732138297854,0.6822411892519274,955,9,0.6822411892519274
11.656763024705297,0.13109922257288759,1027,19,0.13109922257288759
4.258043108873925,0.7495636799419626,1097,10,0.7495636799419626
3.8031567451515134,0.8207586964940495,1127,7,0.8207586964940495
1.6273715780512878,1.2762720155208533,1136,4,1.0
1.6273715780512878,1.2762720155208533,1148,4,1.0
3.2232956248285585,1.027834947927076,1158,6,1.0
5.434993784527796,0.5427552239280127,1175,15,0.5427552239280127
6.139046385568431,0.46605261119242436,1186,16,0.46605261119242436
1.6273715780512878,1.2762720155208533,1196,4,1.0
4.712249745098538,0.6300189994214888,1213,7,0.6300189994214888
4.6688179452475955,0.6856376177191419,1231,8,0.6856376177191419
1.6273715780512878,1.2762720155208533,1240,4,1.0
3.2232956248285585,1.027834947927076,1269,6,1.0
5.509449223514659,0.4773832011222062,1282,10,0.4773832011222062
4.755284882580274,0.5816512332781808,1312,11,0.5816512332781808
2.59281792577143,1.111712424183585,1336,6,1.0
4.6688179452475955,0.6856376177191419,1345,11,0.6856376177191419
2.59281792577143,1.111712424183585,1388,6,1.0
5.727010622687704,0.5392063593359765,1461,9,0.5392063593359765
5.359504093591615,0.6247566768282172,1487,10,0.6247566768282172
3.8031567451515134,0.8207586964940495,1506,7,0.8207586964940495
4.305620486218447,0.6812513845165401,1540,9,0.6812513845165401
3.2232956248285585,1.027834947927076,1553,6,1.0
1.6273715780512878,1.2762720155208533,1564,4,1.0
6.430771369983393,0.40262599546129296,1567,12,0.40262599546129296
6.072315638661277,0.4742291586637421,1598,9,0.4742291586637421
1.6273715780512878,1.2762720155208533,1640,4,1.0
1.6273715780512878,1.2762720155208533,1652,4,1.0
1.6273715780512878,1.2762720155208533,1664,4,1.0
2.59281792577143,1.111712424183585,1682,4,1.0
3.2858897332920622,0.8927387648746967,1700,8,0.8927387648746967
6.399014280237452,0.4232087069335238,1714,19,0.4232087069335238
3.2858897332920622,0.8927387648746967,1728,8,0.8927387648746967
8.086629892458166,0.25711410664467826,1765,9,0.25711410664467826
6.335022529561543,0.4700881342315765,1817,14,0.4700881342315765
6.367098798068676,0.44561907328428807,1834,14,0.44561907328428807
3.8031567451515134,0.8207586964940495,1847,7,0.8207586964940495
1.6273715780512878,1.2762720155208533,1856,4,1.0
5.762472327629266,0.5064199759653949,1896,15,0.5064199759653949
6.172141215046532,0.40381408880310043,1919,16,0.40381408880310043
2.59281792577143,1.111712424183585,1936,6,1.0
2.59281792577143,1.111712424183585,1960,6,1.0
4.258043108873925,0.7495636799419626,2008,10,0.7495636799419626
4.797934031310951,0.5392889255651588,2026,4,0.5392889255651588
5.867571668896666,0.425745358332539,2046,18,0.425745358332539
5.832748977568258,0.45007509051796046,2068,14,0.45007509051796046
3.7492085263260826,0.9243537588616743,2092,6,0.9243537588616743
4.258043108873925,0.7495636799419626,2130,8,0.7495636799419626
1.6273715780512878,1.2762720155208533,2152,4,1.0
3.7492085263260826,0.9243537588616743,2192,6,0.9243537588616743
4.712249745098538,0.6300189994214888,2212,10,0.6300189994214888
1.6273715780512878,1.2762720155208533,2220,4,1.0
6.977727437401995,0.3633861071093103,138,14,0.3633861071093103
7.347472810209705,0.29670616688526713,311,23,0.29670616688526713
2.59281792577143,1.111712424183585,340,10,1.0
